Year,Nominee,Movie,Winner
1927/28(1st),Janet Gaynor ‡,7th Heaven,True
1927/28(1st),Angela,Street Angel,True
1927/28(1st),The Wife,Sunrise: A Song of Two Humans,True
1927/28(1st),Louise Dresser,A Ship Comes In,False
1927/28(1st),Gloria Swanson,Sadie Thompson,False
1928/29(2nd)[note,Mary Pickford ‡,Coquette,True
1928/29(2nd)[note,Ruth Chatterton,Madame X,False
1928/29(2nd)[note,Betty Compson,The Barker,False
1928/29(2nd)[note,Jeanne Eagels †,The Letter,False
1928/29(2nd)[note,Corinne Griffith,The Divine Lady,False
1928/29(2nd)[note,Bessie Love,The Broadway Melody,False
1929/30(3rd),Norma Shearer ‡,The Divorcee,True
1929/30(3rd),Nancy Carroll,The Devil's Holiday,False
1929/30(3rd),Ruth Chatterton,Sarah and Son,False
1929/30(3rd),Greta Garbo,Anna Christie,False
1929/30(3rd),Madame Rita Cavallini,Romance,False
1929/30(3rd),Norma Shearer,Their Own Desire,False
1929/30(3rd),Gloria Swanson,The Trespasser,False
1930/31(4th),Marie Dressler ‡,Min and Bill,True
1930/31(4th),Marlene Dietrich,Morocco,False
1930/31(4th),Irene Dunne,Cimarron,False
1930/31(4th),Ann Harding,Holiday,False
1930/31(4th),Norma Shearer,A Free Soul,False
1931/32(5th),Helen Hayes ‡,The Sin of Madelon Claudet,True
1931/32(5th),Marie Dressler,Emma,False
1931/32(5th),Lynn Fontanne,The Guardsman,False
1932/33(6th),Katharine Hepburn ‡,Morning Glory,True
1932/33(6th),May Robson,Lady for a Day,False
1932/33(6th),Diana Wynyard,Cavalcade,False
1934(7th),Claudette Colbert ‡,It Happened One Night,True
1934(7th),Bette Davis (Write-in),Of Human Bondage,False
1934(7th),Grace Moore,One Night of Love,False
1934(7th),Norma Shearer,The Barretts of Wimpole Street,False
1935(8th),Bette Davis ‡,Dangerous,True
1935(8th),Elisabeth Bergner,Escape Me Never,False
1935(8th),Claudette Colbert,Private Worlds,False
1935(8th),Katharine Hepburn,Alice Adams,False
1935(8th),Miriam Hopkins,Becky Sharp,False
1935(8th),Merle Oberon,The Dark Angel,False
1936(9th),Luise Rainer ‡,The Great Ziegfeld,True
1936(9th),Irene Dunne,Theodora Goes Wild,False
1936(9th),Gladys George,Valiant Is the Word for Carrie,False
1936(9th),Carole Lombard,My Man Godfrey,False
1936(9th),Norma Shearer,Romeo and Juliet,False
1937(10th),Luise Rainer ‡,The Good Earth,True
