Year,Title,Winner
1927/28(1st),Wings,TRUE
1927/28(1st),7th Heaven,FALSE
1927/28(1st),The Racket,FALSE
1928/29(2nd),The Broadway Melody,TRUE
1928/29(2nd),Alibi,FALSE
1928/29(2nd),The Hollywood Revue,FALSE
1928/29(2nd),In Old Arizona,FALSE
1928/29(2nd),The Patriot,FALSE
1929/30(3rd),All Quiet on the Western Front,TRUE
1929/30(3rd),The Big House,FALSE
1929/30(3rd),Disraeli,FALSE
1929/30(3rd),The Divorcee,FALSE
1929/30(3rd),The Love Parade,FALSE
1930/31(4th),Cimarron,TRUE
1930/31(4th),East Lynne,FALSE
1930/31(4th),The Front Page,FALSE
1930/31(4th),Skippy,FALSE
1930/31(4th),Trader Horn,FALSE
1931/32(5th),Grand Hotel,TRUE
1931/32(5th),Arrowsmith,FALSE
1931/32(5th),Bad Girl,FALSE
1931/32(5th),The Champ,FALSE
1931/32(5th),Five Star Final,FALSE
1931/32(5th),One Hour with You,FALSE
1931/32(5th),Shanghai Express,FALSE
1931/32(5th),The Smiling Lieutenant,FALSE
1932/33(6th),Cavalcade,TRUE
1932/33(6th),42nd Street,FALSE
1932/33(6th),A Farewell to Arms,FALSE
1932/33(6th),I Am a Fugitive from a Chain Gang,FALSE
1932/33(6th),Lady for a Day,FALSE
1932/33(6th),Little Women,FALSE
1932/33(6th),The Private Life of Henry VIII,FALSE
1932/33(6th),She Done Him Wrong,FALSE
1932/33(6th),Smilin' Through,FALSE
1932/33(6th),State Fair,FALSE
1934(7th),It Happened One Night,TRUE
1934(7th),The Barretts of Wimpole Street,FALSE
1934(7th),Cleopatra,FALSE
1934(7th),Flirtation Walk,FALSE
1934(7th),The Gay Divorcee,FALSE
1934(7th),Here Comes the Navy,FALSE
1934(7th),The House of Rothschild,FALSE
1934(7th),Imitation of Life,FALSE
1934(7th),One Night of Love,FALSE
1934(7th),The Thin Man,FALSE
1934(7th),Viva Villa!,FALSE
1934(7th),The White Parade,FALSE
1935(8th),Mutiny on the Bounty,TRUE
1935(8th),Alice Adams,FALSE
1935(8th),Broadway Melody of 1936,FALSE
1935(8th),Captain Blood,FALSE
1935(8th),David Copperfield,FALSE
1935(8th),The Informer,FALSE
1935(8th),The Lives of a Bengal Lancer,FALSE
1935(8th),A Midsummer Night's Dream,FALSE
1935(8th),Les Misérables,FALSE
1935(8th),Naughty Marietta,FALSE
1935(8th),Ruggles of Red Gap,FALSE
1935(8th),Top Hat,FALSE
1936(9th),The Great Ziegfeld,TRUE
1936(9th),Anthony Adverse,FALSE
1936(9th),Dodsworth,FALSE
1936(9th),Libeled Lady,FALSE
1936(9th),Mr. Deeds Goes to Town,FALSE
1936(9th),Romeo and Juliet,FALSE
1936(9th),San Francisco,FALSE
1936(9th),The Story of Louis Pasteur,FALSE
1936(9th),A Tale of Two Cities,FALSE
1936(9th),Three Smart Girls,FALSE
1937(10th),The Life of Emile Zola,TRUE
1937(10th),The Awful Truth,FALSE
1937(10th),Captains Courageous,FALSE
1937(10th),Dead End,FALSE
1937(10th),The Good Earth,FALSE
1937(10th),In Old Chicago,FALSE
1937(10th),Lost Horizon,FALSE
1937(10th),One Hundred Men and a Girl,FALSE
1937(10th),Stage Door,FALSE
1937(10th),A Star Is Born,FALSE
1938(11th),You Can't Take It with You,TRUE
1938(11th),The Adventures of Robin Hood,FALSE
1938(11th),Alexander's Ragtime Band,FALSE
1938(11th),Boys Town,FALSE
1938(11th),The Citadel,FALSE
1938(11th),Four Daughters,FALSE
1938(11th),Grand Illusion,FALSE
1938(11th),Jezebel,FALSE
1938(11th),Pygmalion,FALSE
1938(11th),Test Pilot,FALSE
1939(12th),Gone with the Wind,TRUE
1939(12th),Dark Victory,FALSE
1939(12th),"Goodbye, Mr. Chips",FALSE
1939(12th),Love Affair,FALSE
1939(12th),Mr. Smith Goes to Washington,FALSE
1939(12th),Ninotchka,FALSE
1939(12th),Of Mice and Men,FALSE
1939(12th),Stagecoach,FALSE
1939(12th),The Wizard of Oz,FALSE
1939(12th),Wuthering Heights,FALSE
1940(13th),Rebecca,TRUE
1940(13th),"All This, and Heaven Too",FALSE
1940(13th),Foreign Correspondent,FALSE
1940(13th),The Grapes of Wrath,FALSE
1940(13th),The Great Dictator,FALSE
1940(13th),Kitty Foyle,FALSE
1940(13th),The Letter,FALSE
1940(13th),The Long Voyage Home,FALSE
1940(13th),Our Town,FALSE
1940(13th),The Philadelphia Story,FALSE
1941(14th),How Green Was My Valley,TRUE
1941(14th),Blossoms in the Dust,FALSE
1941(14th),Citizen Kane,FALSE
1941(14th),Here Comes Mr. Jordan,FALSE
1941(14th),Hold Back the Dawn,FALSE
1941(14th),The Little Foxes,FALSE
1941(14th),The Maltese Falcon,FALSE
1941(14th),One Foot in Heaven,FALSE
1941(14th),Sergeant York,FALSE
1941(14th),Suspicion,FALSE
1942(15th),Mrs. Miniver,TRUE
