Year,Nominee,Movie,Winner
1927/28,Emil Jannings ‡,The Last Command,True
1927/28,August Schilling,The Way of All Flesh,True
1927/28,Richard Barthelmess,The Noose,False
1927/28,Patent Leather Kid,The Patent Leather Kid,False
1927/28,Charlie Chaplin,The Circus,False
1928/29(2nd)[note,Warner Baxter ‡,In Old Arizona,True
1928/29(2nd)[note,George Bancroft,Thunderbolt,False
1928/29(2nd)[note,Chester Morris,Alibi,False
1928/29(2nd)[note,Paul Muni,The Valiant,False
1928/29(2nd)[note,Lewis Stone,The Patriot,False
1929/30,George Arliss ‡,Disraeli,True
1929/30,George Arliss,The Green Goddess,False
1929/30,Wallace Beery,The Big House,False
1929/30,Maurice Chevalier,The Big Pond,False
1929/30,Count Alfred Renard,The Love Parade,False
1929/30,Ronald Colman,Bulldog Drummond,False
1929/30,Michel,Condemned,False
1929/30,Lawrence Tibbett,The Rogue Song,False
1930/31,Lionel Barrymore ‡,A Free Soul,True
1930/31,Jackie Cooper,Skippy,False
1930/31,Richard Dix,Cimarron,False
1930/31,Fredric March,The Royal Family of Broadway,False
1930/31,Adolphe Menjou,The Front Page,False
1931/32,Wallace Beery ‡ (Tie),The Champ,True
1931/32,Fredric March ‡ (Tie),Dr. Jekyll and Mr. Hyde,True
1931/32,Alfred Lunt,The Guardsman,False
1932/33,Charles Laughton ‡,The Private Life of Henry VIII,True
1932/33,Leslie Howard,Berkeley Square,False
1932/33,Paul Muni,I Am a Fugitive from a Chain Gang,False
1934,Clark Gable ‡,It Happened One Night,True
1934,Frank Morgan,The Affairs of Cellini,False
1934,William Powell,The Thin Man,False
1935,Victor McLaglen ‡,The Informer,True
1935,Clark Gable,Mutiny on the Bounty,False
1935,Charles Laughton,,False
1935,Paul Muni (Write-in),Black Fury,False
1935,Franchot Tone,Mutiny on the Bounty,False
1936,Paul Muni ‡,The Story of Louis Pasteur,True
1936,Gary Cooper,Mr. Deeds Goes to Town,False
1936,Walter Huston,Dodsworth,False
1936,William Powell,My Man Godfrey,False
1936,Spencer Tracy,San Francisco,False
1937,Spencer Tracy ‡,Captains Courageous,True
1937,Charles Boyer,Conquest,False
1937,Fredric March,A Star Is Born,False
1937,Robert Montgomery,Night Must Fall,False
1937,Paul Muni,The Life of Emile Zola,False
1938,Spencer Tracy ‡,Boys Town,True
1938,Charles Boyer,Algiers,False
1938,James Cagney,Angels with Dirty Faces,False
1938,Robert Donat,The Citadel,False
1938,Leslie Howard,Pygmalion,False
1939,Robert Donat ‡,"Goodbye, Mr. Chips",True
1939,Clark Gable,Gone with the Wind,False
1939,Laurence Olivier,Wuthering Heights,False
1939,Mickey Rooney,Babes in Arms,False
1939,James Stewart,Mr. Smith Goes to Washington,False
1940,James Stewart ‡,The Philadelphia Story,True
1940,Charlie Chaplin,The Great Dictator,False
1940,Henry Fonda,The Grapes of Wrath,False
1940,Raymond Massey,Abe Lincoln in Illinois,False
1940,Laurence Olivier,Rebecca,False
1941,Gary Cooper ‡,Sergeant York,True
1941,Cary Grant,Penny Serenade,False
1941,Walter Huston,The Devil and Daniel Webster,False
1941,Robert Montgomery,Here Comes Mr. Jordan,False
1941,Orson Welles,Citizen Kane,False
1942,James Cagney ‡,Yankee Doodle Dandy,True
1942,Ronald Colman,Random Harvest,False
1942,Gary Cooper,The Pride of the Yankees,False
1942,Walter Pidgeon,Mrs. Miniver,False
1942,Monty Woolley,The Pied Piper,False
1943,Paul Lukas ‡,Watch on the Rhine,True
1943,Humphrey Bogart,Casablanca,False
1943,Gary Cooper,For Whom the Bell Tolls,False
1943,Walter Pidgeon,Madame Curie,False
1943,Mickey Rooney,The Human Comedy,False
1944,Bing Crosby ‡,Going My Way,True
1944,Charles Boyer,Gaslight,False
1944,Barry Fitzgerald,Going My Way,False
1944,Cary Grant,None but the Lonely Heart,False
1944,Alexander Knox,Wilson,False
1945,Ray Milland ‡,The Lost Weekend,True
1945,Bing Crosby,The Bells of St. Mary's,False
1945,Gene Kelly,Anchors Aweigh,False
1945,Gregory Peck,The Keys of the Kingdom,False
1945,Cornel Wilde,A Song to Remember,False
1946,Fredric March ‡,The Best Years of Our Lives,True
1946,Laurence Olivier,Henry V,False
1946,Larry Parks,The Jolson Story,False
1946,Gregory Peck,The Yearling,False
1946,James Stewart,It's a Wonderful Life,False
1947,Ronald Colman ‡,A Double Life,True
1947,John Garfield,Body and Soul,False
1947,Gregory Peck,Gentleman's Agreement,False
1947,William Powell,Life with Father,False
1947,Michael Redgrave,Mourning Becomes Electra,False
1948,Laurence Olivier ‡,Hamlet,True
1948,Lew Ayres,Johnny Belinda,False
1948,Montgomery Clift,The Search,False
1948,Dan Dailey,When My Baby Smiles at Me,False
1948,Clifton Webb,Sitting Pretty,False
1949,Broderick Crawford ‡,All the King's Men,True
1949,Kirk Douglas,Champion,False
1949,Gregory Peck,Twelve O'Clock High,False
1949,Richard Todd,The Hasty Heart,False
1949,John Wayne,Sands of Iwo Jima,False
1950,José Ferrer ‡,Cyrano de Bergerac,True
1950,Louis Calhern,The Magnificent Yankee,False
1950,William Holden,Sunset Boulevard,False
1950,James Stewart,Harvey,False
1950,Spencer Tracy,Father of the Bride,False
1951,Humphrey Bogart ‡,The African Queen,True
1951,Marlon Brando,A Streetcar Named Desire,False
1951,Montgomery Clift,A Place in the Sun,False
1951,Arthur Kennedy,Bright Victory,False
1951,Fredric March,Death of a Salesman,False
1952,Gary Cooper ‡,High Noon,True
1952,Marlon Brando,Viva Zapata!,False
1952,Kirk Douglas,The Bad and the Beautiful,False
1952,José Ferrer,Moulin Rouge,False
1952,Alec Guinness,The Lavender Hill Mob,False
1953,William Holden ‡,Stalag 17,True
1953,Marlon Brando,Julius Caesar,False
1953,Richard Burton,The Robe,False
1953,Montgomery Clift,From Here to Eternity,False
1953,Burt Lancaster,,False
1954,Marlon Brando ‡,On the Waterfront,True
1954,Humphrey Bogart,The Caine Mutiny,False
1954,Bing Crosby,The Country Girl,False
1954,James Mason,A Star Is Born,False
1954,Dan O'Herlihy,Robinson Crusoe,False
1955,Ernest Borgnine ‡,Marty,True
1955,James Cagney,Love Me or Leave Me,False
1955,James Dean †,East of Eden,False
1955,Frank Sinatra,The Man with the Golden Arm,False
1955,Spencer Tracy,Bad Day at Black Rock,False
1956,Yul Brynner ‡,The King and I,True
1956,James Dean †,Giant,False
1956,Kirk Douglas,Lust for Life,False
1956,Rock Hudson,Giant,False
1956,Laurence Olivier,Richard III,False
1957,Alec Guinness ‡,The Bridge on the River Kwai,True
1957,Marlon Brando,Sayonara,False
1957,Anthony Franciosa,A Hatful of Rain,False
1957,Charles Laughton,Witness for the Prosecution,False
1957,Anthony Quinn,Wild Is the Wind,False
1958,David Niven ‡,Separate Tables,True
