Year,Nominee,Movie,Winner
1927/28,Frank Borzage (Dramatic Picture),7th Heaven,True
1927/28,Herbert Brenon (Dramatic Picture),Sorrell and Son,False
1927/28,King Vidor (Dramatic Picture),The Crowd,False
1927/28,Lewis Milestone (Comedy Picture),Two Arabian Knights,True
1927/28,Ted Wilde (Comedy Picture),Speedy,False
1927/28,Charlie Chaplin (Comedy Picture),The Circus,False
1928/29(2nd)[b],Frank Lloyd,The Divine Lady,True
1928/29(2nd)[b],Lionel Barrymore,Madame X,False
1928/29(2nd)[b],Harry Beaumont,The Broadway Melody,False
1928/29(2nd)[b],Irving Cummings,In Old Arizona,False
1928/29(2nd)[b],Frank Lloyd,Drag,False
1928/29(2nd)[b],Weary River,Weary River,False
1928/29(2nd)[b],Ernst Lubitsch,The Patriot,False
1929/30(3rd),Lewis Milestone,All Quiet on the Western Front,True
1929/30(3rd),Clarence Brown,Anna Christie,False
1929/30(3rd),Romance,Romance,False
1929/30(3rd),Robert Z. Leonard,The Divorcee,False
1929/30(3rd),Ernst Lubitsch,The Love Parade,False
1929/30(3rd),King Vidor,Hallelujah!,False
1930/31(4th),Norman Taurog,Skippy,True
1930/31(4th),Clarence Brown,A Free Soul,False
1930/31(4th),Lewis Milestone,The Front Page,False
1930/31(4th),Wesley Ruggles,Cimarron,False
1930/31(4th),Josef von Sternberg,Morocco,False
1931/32(5th),Frank Borzage,Bad Girl,True
1931/32(5th),King Vidor,The Champ,False
1931/32(5th),Josef von Sternberg,Shanghai Express,False
1932/33(6th),Frank Lloyd,Cavalcade,True
1932/33(6th),Frank Capra,Lady for a Day,False
1932/33(6th),George Cukor,Little Women,False
1934(7th),Frank Capra,It Happened One Night,True
1934(7th),Victor Schertzinger,One Night of Love,False
1934(7th),W. S. Van Dyke,The Thin Man,False
1935(8th),John Ford,The Informer,True
1935(8th),Henry Hathaway,The Lives of a Bengal Lancer,False
1935(8th),Frank Lloyd,Mutiny on the Bounty,False
1935(8th),Michael Curtiz (Write-in),Captain Blood,False
1936(9th),Frank Capra,Mr. Deeds Goes to Town,True
1936(9th),Gregory La Cava,My Man Godfrey,False
1936(9th),Robert Z. Leonard,The Great Ziegfeld,False
1936(9th),W. S. Van Dyke,San Francisco,False
1936(9th),William Wyler,Dodsworth,False
1937(10th),Leo McCarey,The Awful Truth,True
