Year,Nominee,Movie,Winner
1936,Walter Brennan ‡,Come and Get It,True
1936,Mischa Auer,My Man Godfrey,False
1936,Stuart Erwin,Pigskin Parade,False
1936,Basil Rathbone,Romeo and Juliet,False
1936,Akim Tamiroff,The General Died at Dawn,False
1937,Joseph Schildkraut ‡,The Life of Emile Zola,True
1937,Ralph Bellamy,The Awful Truth,False
1937,Thomas Mitchell,The Hurricane,False
1937,H. B. Warner,Lost Horizon,False
1937,Roland Young,Topper,False
1938,Walter Brennan ‡,Kentucky,True
1938,John Garfield,Four Daughters,False
1938,Gene Lockhart,Algiers,False
1938,Robert Morley,Marie Antoinette,False
1938,Basil Rathbone,If I Were King,False
1939,Thomas Mitchell ‡,Stagecoach,True
1939,Brian Aherne,Juarez,False
1939,Harry Carey Sr.,Mr. Smith Goes to Washington,False
1939,Brian Donlevy,Beau Geste,False
1939,Claude Rains,Mr. Smith Goes to Washington,False
1940,Walter Brennan ‡,The Westerner,True
1940,Albert Bassermann,Foreign Correspondent,False
1940,William Gargan,They Knew What They Wanted,False
1940,Jack Oakie,The Great Dictator,False
1940,James Stephenson,The Letter,False
1941,Donald Crisp ‡,How Green Was My Valley,True
1941,Walter Brennan,Sergeant York,False
1941,Charles Coburn,The Devil and Miss Jones,False
1941,James Gleason,Here Comes Mr. Jordan,False
1941,Sydney Greenstreet,The Maltese Falcon,False
1942,Van Heflin ‡,Johnny Eager,True
1942,William Bendix,Wake Island,False
1942,Walter Huston,Yankee Doodle Dandy,False
1942,Frank Morgan,Tortilla Flat,False
1942,Henry Travers,Mrs. Miniver,False
1943,Charles Coburn ‡,The More the Merrier,True
1943,Charles Bickford,The Song of Bernadette,False
1943,J. Carrol Naish,Sahara,False
1943,Claude Rains,Casablanca,False
1943,Akim Tamiroff,For Whom the Bell Tolls,False
1944,Barry Fitzgerald ‡,Going My Way,True
1944,Hume Cronyn,The Seventh Cross,False
1944,Claude Rains,Mr. Skeffington,False
1944,Clifton Webb,Laura,False
1944,Monty Woolley,Since You Went Away,False
1945,James Dunn ‡,A Tree Grows in Brooklyn,True
1945,Michael Chekhov,Spellbound,False
1945,John Dall,The Corn Is Green,False
1945,Robert Mitchum,The Story of G.I. Joe,False
1945,J. Carrol Naish,A Medal for Benny,False
1946,Harold Russell ‡,The Best Years of Our Lives,True
1946,Charles Coburn,The Green Years,False
1946,William Demarest,The Jolson Story,False
1946,Claude Rains,Notorious,False
1946,Clifton Webb,The Razor's Edge,False
1947,Edmund Gwenn ‡,Miracle on 34th Street,True
1947,Charles Bickford,The Farmer's Daughter,False
1947,Thomas Gomez,Ride the Pink Horse,False
1947,Robert Ryan,Crossfire,False
1947,Richard Widmark,Kiss of Death,False
1948,Walter Huston ‡,The Treasure of the Sierra Madre,True
1948,Charles Bickford,Johnny Belinda,False
1948,José Ferrer,Joan of Arc,False
1948,Oskar Homolka,I Remember Mama,False
1948,Cecil Kellaway,The Luck of the Irish,False
1949,Dean Jagger ‡,Twelve O'Clock High,True
1949,John Ireland,All the King's Men,False
1949,Arthur Kennedy,Champion,False
1949,Ralph Richardson,The Heiress,False
1949,James Whitmore,Battleground,False
1950(23rd),George Sanders ‡,All About Eve,True
1950(23rd),Jeff Chandler,Broken Arrow,False
1950(23rd),Edmund Gwenn,Mister 880,False
1950(23rd),Sam Jaffe,The Asphalt Jungle,False
1950(23rd),Erich von Stroheim,Sunset Boulevard,False
1951,Karl Malden ‡,A Streetcar Named Desire,True
1951,Leo Genn,Quo Vadis,False
1951,Kevin McCarthy,Death of a Salesman,False
1951,Peter Ustinov,Quo Vadis,False
1951,Gig Young,Come Fill the Cup,False
1952,Anthony Quinn ‡,Viva Zapata!,True
1952,Richard Burton,My Cousin Rachel,False
1952,Arthur Hunnicutt,The Big Sky,False
1952,Victor McLaglen,The Quiet Man,False
1952,Jack Palance,Sudden Fear,False
1953,Frank Sinatra ‡,From Here to Eternity,True
1953,Eddie Albert,Roman Holiday,False
1953,Brandon deWilde,Shane,False
1953,Jack Palance,,False
1953,Robert Strauss,Stalag 17,False
1954,Edmond O'Brien ‡,The Barefoot Contessa,True
1954,Lee J. Cobb,On the Waterfront,False
1954,Karl Malden,,False
1954,Rod Steiger,,False
1954,Tom Tully,The Caine Mutiny,False
1955,Jack Lemmon ‡,Mister Roberts,True
1955,Arthur Kennedy,Trial,False
1955,Joe Mantell,Marty,False
1955,Sal Mineo,Rebel Without a Cause,False
1955,Arthur O'Connell,Picnic,False
1956,Anthony Quinn ‡,Lust for Life,True
1956,Don Murray,Bus Stop,False
1956,Anthony Perkins,Friendly Persuasion,False
1956,Mickey Rooney,The Bold and the Brave,False
1956,Robert Stack,Written on the Wind,False
1957,Red Buttons ‡,Sayonara,True
1957,Vittorio De Sica,A Farewell to Arms,False
1957,Sessue Hayakawa,The Bridge on the River Kwai,False
1957,Arthur Kennedy,Peyton Place,False
1957,Russ Tamblyn,,False
1958,Burl Ives ‡,The Big Country,True
1958,Theodore Bikel,The Defiant Ones,False
1958,Lee J. Cobb,The Brothers Karamazov,False
1958,Arthur Kennedy,Some Came Running,False
1958,Gig Young,Teacher's Pet,False
1959,Hugh Griffith ‡,Ben-Hur,True
1959,Arthur O'Connell,Anatomy of a Murder,False
1959,George C. Scott,,False
1959,Robert Vaughn,The Young Philadelphians,False
1959,Ed Wynn,The Diary of Anne Frank,False
1960,Peter Ustinov ‡,Spartacus,True
1960,Peter Falk,"Murder, Inc.",False
1960,Jack Kruschen,The Apartment,False
1960,Sal Mineo,Exodus,False
1960,Chill Wills,The Alamo,False
1961,George Chakiris ‡,West Side Story,True
1961,Montgomery Clift,Judgment at Nuremberg,False
1961,Peter Falk,Pocketful of Miracles,False
1961,Jackie Gleason,The Hustler,False
1961,George C. Scott §,,False
1962,Ed Begley ‡,Sweet Bird of Youth,True
1962,Victor Buono,What Ever Happened to Baby Jane?,False
1962,Telly Savalas,Birdman of Alcatraz,False
1962,Omar Sharif,Lawrence of Arabia,False
1962,Terence Stamp,Billy Budd,False
1963,Melvyn Douglas ‡,Hud,True
1963,Nick Adams,Twilight of Honor,False
1963,Bobby Darin,"Captain Newman, M.D.",False
1963,Hugh Griffith,Tom Jones,False
1963,John Huston,The Cardinal,False
1964,Peter Ustinov ‡,Topkapi,True
1964,John Gielgud,Becket,False
1964,Stanley Holloway,My Fair Lady,False
1964,Edmond O'Brien,Seven Days in May,False
1964,Lee Tracy,The Best Man,False
1965,Martin Balsam ‡,A Thousand Clowns,True
1965,Ian Bannen,The Flight of the Phoenix,False
1965,Tom Courtenay,Doctor Zhivago,False
1965,Michael Dunn,Ship of Fools,False
1965,Frank Finlay,Othello,False
1966,Walter Matthau ‡,The Fortune Cookie,True
1966,Mako,The Sand Pebbles,False
1966,James Mason,Georgy Girl,False
1966,George Segal,Who's Afraid of Virginia Woolf?,False
1966,Robert Shaw,A Man for All Seasons,False
1967,George Kennedy ‡,Cool Hand Luke,True
1967,John Cassavetes,The Dirty Dozen,False
1967,Gene Hackman,Bonnie and Clyde,False
1967,Cecil Kellaway,Guess Who's Coming to Dinner,False
1967,Michael J. Pollard,Bonnie and Clyde,False
1968,Jack Albertson ‡,The Subject Was Roses,True
1968,Seymour Cassel,Faces,False
1968,Daniel Massey,Star!,False
1968,Jack Wild,Oliver!,False
1968,Gene Wilder,The Producers,False
1969,Gig Young ‡,"They Shoot Horses, Don't They?",True
1969,Rupert Crosse,The Reivers,False
1969,Elliott Gould,Bob & Carol & Ted & Alice,False
1969,Jack Nicholson,Easy Rider,False
1969,Anthony Quayle,Anne of the Thousand Days,False
1970,John Mills ‡,Ryan's Daughter,True
1970,Richard S. Castellano,Lovers and Other Strangers,False
1970,Chief Dan George,Little Big Man,False
1970,Gene Hackman,I Never Sang for My Father,False
1970,John Marley,Love Story,False
1971,Ben Johnson ‡,The Last Picture Show,True
1971,Jeff Bridges,The Last Picture Show,False
1971,Leonard Frey,Fiddler on the Roof,False
1971,Richard Jaeckel,Sometimes a Great Notion,False
1971,Roy Scheider,The French Connection,False
1972,Joel Grey ‡,Cabaret,True
1972,Eddie Albert,The Heartbreak Kid,False
1972,James Caan,The Godfather,False
1972,Robert Duvall,,False
1972,Al Pacino,,False
1973,John Houseman ‡,The Paper Chase,True
1973,Vincent Gardenia,Bang the Drum Slowly,False
1973,Jack Gilford,Save the Tiger,False
1973,Jason Miller,The Exorcist,False
1973,Randy Quaid,The Last Detail,False
1974,Robert De Niro ‡,The Godfather Part II,True
1974,Fred Astaire,The Towering Inferno,False
1974,Jeff Bridges,Thunderbolt and Lightfoot,False
1974,Michael V. Gazzo,The Godfather Part II,False
1974,Lee Strasberg,,False
1975,George Burns ‡,The Sunshine Boys,True
1975,Brad Dourif,One Flew Over the Cuckoo's Nest,False
1975,Burgess Meredith,The Day of the Locust,False
1975,Chris Sarandon,Dog Day Afternoon,False
1975,Jack Warden,Shampoo,False
1976,Jason Robards ‡,All the President's Men,True
1976,Ned Beatty,Network,False
1976,Burgess Meredith,Rocky,False
1976,Laurence Olivier,Marathon Man,False
1976,Burt Young,Rocky,False
1977,Jason Robards ‡,Julia,True
1977,Mikhail Baryshnikov,The Turning Point,False
1977,Peter Firth,Equus,False
1977,Alec Guinness,Star Wars,False
1977,Maximilian Schell,Julia,False
1978,Christopher Walken ‡,The Deer Hunter,True
1978,Bruce Dern,Coming Home,False
