Year,Nominee,Movie,Winner
1936,Gale Sondergaard ‡,Anthony Adverse,True
1936,Beulah Bondi,The Gorgeous Hussy,False
1936,Alice Brady,My Man Godfrey,False
1936,Bonita Granville,These Three,False
1936,Maria Ouspenskaya,Dodsworth,False
1937,Alice Brady ‡,In Old Chicago,True
1937,Andrea Leeds,Stage Door,False
1937,Anne Shirley,Stella Dallas,False
1937,Claire Trevor,Dead End,False
1937,May Whitty,Night Must Fall,False
1938,Fay Bainter ‡,Jezebel,True
1938,Beulah Bondi,Of Human Hearts,False
1938,Billie Burke,Merrily We Live,False
1938,Spring Byington,You Can't Take It with You,False
1938,Miliza Korjus,The Great Waltz,False
1939,Hattie McDaniel ‡,Gone with the Wind,True
1939,Olivia de Havilland,Gone with the Wind,False
1939,Geraldine Fitzgerald,Wuthering Heights,False
1939,Edna May Oliver,Drums Along the Mohawk,False
1939,Maria Ouspenskaya,Love Affair,False
1940,Jane Darwell ‡,The Grapes of Wrath,True
1940,Judith Anderson,Rebecca,False
1940,Ruth Hussey,The Philadelphia Story,False
1940,Barbara O'Neil,"All This, and Heaven Too",False
1940,Marjorie Rambeau,Primrose Path,False
1941,Mary Astor ‡,The Great Lie,True
1941,Sara Allgood,How Green Was My Valley,False
1941,Patricia Collinge,The Little Foxes,False
1941,Teresa Wright,,False
1941,Margaret Wycherly,Sergeant York,False
1942,Teresa Wright ‡,Mrs. Miniver,True
1942,Gladys Cooper,"Now, Voyager",False
1942,Agnes Moorehead,The Magnificent Ambersons,False
1942,Susan Peters,Random Harvest,False
1942,May Whitty,Mrs. Miniver,False
1943,Katina Paxinou ‡,For Whom the Bell Tolls,True
1943,Gladys Cooper,The Song of Bernadette,False
1943,Paulette Goddard,So Proudly We Hail!,False
1943,Anne Revere,The Song of Bernadette,False
1943,Lucile Watson,Watch on the Rhine,False
1944,Ethel Barrymore ‡,None but the Lonely Heart,True
1944,Jennifer Jones,Since You Went Away,False
1944,Angela Lansbury,Gaslight,False
1944,Aline MacMahon,Dragon Seed,False
1944,Agnes Moorehead,Mrs. Parkington,False
1945,Anne Revere ‡,National Velvet,True
1945,Eve Arden,Mildred Pierce,False
1945,Ann Blyth,,False
1945,Angela Lansbury,The Picture of Dorian Gray,False
1945,Joan Lorring,The Corn Is Green,False
1946,Anne Baxter ‡,The Razor's Edge,True
1946,Ethel Barrymore,The Spiral Staircase,False
1946,Lillian Gish,Duel in the Sun,False
1946,Flora Robson,Saratoga Trunk,False
1946,Gale Sondergaard,Anna and the King of Siam,False
1947,Celeste Holm ‡,Gentleman's Agreement,True
1947,Ethel Barrymore,The Paradine Case,False
1947,Gloria Grahame,Crossfire,False
1947,Marjorie Main,The Egg and I,False
1947,Anne Revere,Gentleman's Agreement,False
1948,Claire Trevor ‡,Key Largo,True
1948,Barbara Bel Geddes,I Remember Mama,False
1948,Ellen Corby,,False
1948,Agnes Moorehead,Johnny Belinda,False
1948,Jean Simmons,Hamlet,False
1949,Mercedes McCambridge ‡,All the King's Men,True
1949,Ethel Barrymore,Pinky,False
1949,Celeste Holm,Come to the Stable,False
1949,Elsa Lanchester,,False
1949,Ethel Waters,Pinky,False
1950,Josephine Hull ‡,Harvey,True
1950,Hope Emerson,Caged,False
1950,Celeste Holm,All About Eve,False
1950,Nancy Olson,Sunset Boulevard,False
1950,Thelma Ritter,All About Eve,False
1951,Kim Hunter ‡,A Streetcar Named Desire,True
1951,Joan Blondell,The Blue Veil,False
1951,Mildred Dunnock,Death of a Salesman,False
1951,Lee Grant,Detective Story,False
1951,Thelma Ritter,The Mating Season,False
1952,Gloria Grahame ‡,The Bad and the Beautiful,True
1952,Jean Hagen,Singin' in the Rain,False
1952,Colette Marchand,Moulin Rouge,False
1952,Terry Moore,"Come Back, Little Sheba",False
1952,Thelma Ritter,With a Song in My Heart,False
1953,Donna Reed ‡,From Here to Eternity,True
1953,Grace Kelly,Mogambo,False
1953,Geraldine Page,Hondo,False
1953,Marjorie Rambeau,Torch Song,False
1953,Thelma Ritter,Pickup on South Street,False
1954,Eva Marie Saint ‡,On the Waterfront,True
1954,Nina Foch,Executive Suite,False
1954,Katy Jurado,Broken Lance,False
1954,Jan Sterling,The High and the Mighty,False
1954,Claire Trevor,,False
1955,Jo Van Fleet ‡,East of Eden,True
1955,Betsy Blair,Marty,False
1955,Peggy Lee,Pete Kelly's Blues,False
1955,Marisa Pavan,The Rose Tattoo,False
1955,Natalie Wood,Rebel Without a Cause,False
1956,Dorothy Malone ‡,Written on the Wind,True
1956,Mildred Dunnock,Baby Doll,False
1956,Eileen Heckart,The Bad Seed,False
1956,Mercedes McCambridge,Giant,False
1956,Patty McCormack,The Bad Seed,False
1957,Miyoshi Umeki ‡,Sayonara,True
1957,Carolyn Jones,The Bachelor Party,False
1957,Elsa Lanchester,Witness for the Prosecution,False
1957,Hope Lange,Peyton Place,False
1957,Diane Varsi,,False
1958,Wendy Hiller ‡,Separate Tables,True
1958,Peggy Cass,Auntie Mame,False
1958,Martha Hyer,Some Came Running,False
1958,Maureen Stapleton,Lonelyhearts,False
1958,Cara Williams,The Defiant Ones,False
1959,Shelley Winters ‡,The Diary of Anne Frank,True
1959,Hermione Baddeley,Room at the Top,False
1959,Susan Kohner,Imitation of Life,False
1959,Juanita Moore,,False
1959,Thelma Ritter,Pillow Talk,False
1960,Shirley Jones ‡,Elmer Gantry,True
1960,Glynis Johns,The Sundowners,False
1960,Shirley Knight,The Dark at the Top of the Stairs,False
1960,Janet Leigh,Psycho,False
1960,Mary Ure,Sons and Lovers,False
1961,Rita Moreno ‡,West Side Story,True
1961,Fay Bainter,The Children's Hour,False
1961,Judy Garland,Judgment at Nuremberg,False
1961,Lotte Lenya,The Roman Spring of Mrs. Stone,False
1961,Una Merkel,Summer and Smoke,False
1962,Patty Duke ‡,The Miracle Worker,True
1962,Mary Badham,To Kill a Mockingbird,False
1962,Shirley Knight,Sweet Bird of Youth,False
1962,Angela Lansbury,The Manchurian Candidate,False
