Year,Nominee,Movie,Winner
,1947,The Best Years of Our Lives,True
,1948,Hamlet,True
,Crossfire,Crossfire,False
,The Fallen Idol,The Fallen Idol,False
,Monsieur Vincent,Monsieur Vincent,False
,The Naked City,The Naked City,False
,Paisan (Paisà),Paisan,False
,Four Steps in the Clouds (Quattro passi fra le nuvole),Four Steps in the Clouds,False
,1949,Bicycle Thieves,True
,The Berliner (Berliner Ballade),The Berliner,False
,The Last Stage (Ostatni etap),The Last Stage,False
,The Set-Up,The Set-Up,False
,The Third Man,The Third Man,False
,The Treasure of the Sierra Madre,The Treasure of the Sierra Madre,False
,The Window,The Window,False
,1950,All About Eve,True
,The Asphalt Jungle,The Asphalt Jungle,False
,Beauty and the Devil (La Beauté du diable),Beauty and the Devil,False
,Intruder in the Dust,Intruder in the Dust,False
,The Men,The Men,False
,On the Town,On the Town,False
,Orphée (US: Orpheus),Orphée,False
,1951,La Ronde,True
,An American in Paris †,An American in Paris,False
,The Browning Version,The Browning Version,False
,Detective Story,Detective Story,False
,Sunday in August (Domenica d'agosto),Sunday in August,False
,Fourteen Hours,Fourteen Hours,False
,Miss Julie (Fröken Julie),Miss Julie,False
,The Lavender Hill Mob,The Lavender Hill Mob,False
,The Magic Box (1951),The Magic Box,False
,The Magic Garden,The Magic Garden,False
,The Man in the White Suit,The Man in the White Suit,False
,No Resting Place,No Resting Place,False
,The Red Badge of Courage,The Red Badge of Courage,False
,The Small Miracle,The Small Miracle,False
,The Sound of Fury,The Sound of Fury,False
,A Walk in the Sun,A Walk in the Sun,False
,White Corridors,White Corridors,False
,Edward and Caroline (Édouard et Caroline),Edward and Caroline,False
,1952,The Sound Barrier,True
,The African Queen,The African Queen,False
,Angels One Five,Angels One Five,False
,The Boy Kumasenu,The Boy Kumasenu,False
,Carrie,Carrie,False
,Casque d'Or,Casque d'Or,False
,"Cry, the Beloved Country","Cry, the Beloved Country",False
,Death of a Salesman,Death of a Salesman,False
,Limelight,Limelight,False
,Mandy,Mandy,False
,Miracle in Milan (Miracolo a Milano),Miracle in Milan,False
,The Young and the Damned (Los olvidados),The Young and the Damned,False
,Outcast of the Islands,Outcast of the Islands,False
,"Rashomon (羅生門, Rashōmon)",Rashomon,False
,The River,The River,False
,Singin' in the Rain,Singin' in the Rain,False
,A Streetcar Named Desire,A Streetcar Named Desire,False
,Viva Zapata!,Viva Zapata!,False
,1953,Forbidden Games,True
,The Bad and the Beautiful,The Bad and the Beautiful,False
,"Come Back, Little Sheba","Come Back, Little Sheba",False
,The Cruel Sea,The Cruel Sea,False
,Two Cents Worth of Hope (Due soldi di speranza),Two Cents Worth of Hope,False
,From Here to Eternity †,From Here to Eternity,False
,Genevieve,Genevieve,False
,The Heart of the Matter,The Heart of the Matter,False
,Julius Caesar,Julius Caesar,False
,The Kidnappers (US: The Little Kidnappers),The Kidnappers,False
,Lili,Lili,False
,The Medium (Il medium),The Medium,False
,Mogambo,Mogambo,False
,Moulin Rouge,Moulin Rouge,False
,Are We All Murderers? (Nous sommes tous des assassins),Are We All Murderers?,False
,Little World of Don Camillo (Don Camillo),Little World of Don Camillo,False
,Roman Holiday,Roman Holiday,False
,Shane,Shane,False
,The Sun Shines Bright,The Sun Shines Bright,False
,1954,The Wages of Fear,True
,The Caine Mutiny,The Caine Mutiny,False
,Carrington V.C.,Carrington V.C.,False
,The Divided Heart,The Divided Heart,False
,Doctor in the House,Doctor in the House,False
,Executive Suite,Executive Suite,False
,"For Better, for Worse","For Better, for Worse",False
,Hobson's Choice,Hobson's Choice,False
,How to Marry a Millionaire,How to Marry a Millionaire,False
,"Gate of Hell (地獄門, Jigokumon)",Gate of Hell,False
,The Maggie,The Maggie,False
,The Moon Is Blue,The Moon Is Blue,False
,On the Waterfront †,On the Waterfront,False
,"Bread, Love and Dreams (Pane, amore e fantasia)","Bread, Love and Dreams",False
,The Purple Plain,The Purple Plain,False
,Rear Window,Rear Window,False
,Riot in Cell Block 11,Riot in Cell Block 11,False
,Robinson Crusoe (Aventuras de Robinson Crusoe),Robinson Crusoe,False
,Romeo and Juliet,Romeo and Juliet,False
,Seven Brides for Seven Brothers,Seven Brides for Seven Brothers,False
,1955,Richard III,True
,Bad Day at Black Rock,Bad Day at Black Rock,False
,Carmen Jones,Carmen Jones,False
,The Colditz Story,The Colditz Story,False
,The Dam Busters,The Dam Busters,False
,East of Eden,East of Eden,False
,The Ladykillers,The Ladykillers,False
,Marty †,Marty,False
,The Night My Number Came Up,The Night My Number Came Up,False
,The Prisoner,The Prisoner,False
,"Seven Samurai (七人の侍, Shichinin no Samurai)",Seven Samurai,False
,Simba,Simba,False
,La Strada,La Strada,False
,Summertime,Summertime,False
,1956,Gervaise,True
,Friends for Life (Amici per la pelle),Friends for Life,False
,Baby Doll,Baby Doll,False
,The Battle of the River Plate,The Battle of the River Plate,False
,The Unfrocked One (Le Défroqué),The Unfrocked One,False
,Guys and Dolls,Guys and Dolls,False
,The Killing,The Killing,False
,The Man Who Never Was,The Man Who Never Was,False
,The Man with the Golden Arm,The Man with the Golden Arm,False
,Picnic,Picnic,False
,"The Grasshopper (Попрыгунья, Poprygunya)",The Grasshopper,False
,Reach for the Sky,Reach for the Sky,False
,Rebel Without a Cause,Rebel Without a Cause,False
,Shadow (Cień),Shadow,False
