Year,Nominee,Movie,Winner
1995,Sense and Sensibility,Sense and Sensibility,True
1996,Fargo,Fargo,True
1996,Big Night,Big Night,False
1996,The Crucible,The Crucible,False
1996,The English Patient ‡,The English Patient ‡,False
1996,Evita,Evita,False
1996,Hamlet,Hamlet,False
1996,Jerry Maguire,Jerry Maguire,False
1996,Lone Star,Lone Star,False
1996,The People vs. Larry Flynt,The People vs. Larry Flynt,False
1996,Shine,Shine,False
1997,L.A. Confidential,L.A. Confidential,True
1997,Amistad,Amistad,False
1997,As Good as It Gets,As Good as It Gets,False
1997,Boogie Nights,Boogie Nights,False
1997,Donnie Brasco,Donnie Brasco,False
1997,Good Will Hunting,Good Will Hunting,False
1997,The Full Monty,The Full Monty,False
1997,Titanic ‡,Titanic ‡,False
1997,Wag the Dog,Wag the Dog,False
1997,The Wings of the Dove,The Wings of the Dove,False
1998,Saving Private Ryan,Saving Private Ryan,True
1998,Elizabeth,Elizabeth,False
1998,Gods and Monsters,Gods and Monsters,False
1998,Life Is Beautiful,Life Is Beautiful,False
1998,Out of Sight,Out of Sight,False
1998,Pleasantville,Pleasantville,False
1998,Shakespeare in Love ‡,Shakespeare in Love ‡,False
1998,A Simple Plan,A Simple Plan,False
1998,The Thin Red Line,The Thin Red Line,False
1998,The Truman Show,The Truman Show,False
1999,American Beauty ‡,American Beauty ‡,True
1999,Being John Malkovich,Being John Malkovich,False
1999,The Cider House Rules,The Cider House Rules,False
1999,The Green Mile,The Green Mile,False
1999,The Insider,The Insider,False
1999,Magnolia,Magnolia,False
1999,Man on the Moon,Man on the Moon,False
1999,The Sixth Sense,The Sixth Sense,False
1999,The Talented Mr. Ripley,The Talented Mr. Ripley,False
1999,Three Kings,Three Kings,False
2000,Gladiator ‡,Gladiator ‡,True
2000,Almost Famous,Almost Famous,False
2000,Billy Elliot,Billy Elliot,False
2000,Cast Away,Cast Away,False
2000,"Crouching Tiger, Hidden Dragon","Crouching Tiger, Hidden Dragon",False
2000,Erin Brockovich,Erin Brockovich,False
2000,Quills,Quills,False
2000,Thirteen Days,Thirteen Days,False
2000,Traffic,Traffic,False
2000,Wonder Boys,Wonder Boys,False
2000,You Can Count on Me,You Can Count on Me,False
2001,A Beautiful Mind ‡,A Beautiful Mind ‡,True
2001,Ali,Ali,False
2001,In the Bedroom,In the Bedroom,False
2001,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,False
2001,The Man Who Wasn't There,The Man Who Wasn't There,False
2001,Memento,Memento,False
2001,Moulin Rouge!,Moulin Rouge!,False
2001,Mulholland Drive,Mulholland Drive,False
2001,The Shipping News,The Shipping News,False
2001,Shrek,Shrek,False
2002,Chicago ‡,Chicago ‡,True
2002,About Schmidt,About Schmidt,False
2002,Adaptation.,Adaptation.,False
2002,Catch Me If You Can,Catch Me If You Can,False
2002,Far from Heaven,Far from Heaven,False
2002,Gangs of New York,Gangs of New York,False
2002,The Hours,The Hours,False
2002,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,False
2002,The Pianist,The Pianist,False
2002,Road to Perdition,Road to Perdition,False
2003,The Lord of the Rings: The Return of the King ‡,The Lord of the Rings: The Return of the King ‡,True
2003,Big Fish,Big Fish,False
2003,Cold Mountain,Cold Mountain,False
2003,Finding Nemo,Finding Nemo,False
2003,In America,In America,False
2003,The Last Samurai,The Last Samurai,False
2003,Lost in Translation,Lost in Translation,False
2003,Master and Commander: The Far Side of the World,Master and Commander: The Far Side of the World,False
2003,Mystic River,Mystic River,False
2003,Seabiscuit,Seabiscuit,False
2004,Sideways,Sideways,True
2004,The Aviator,The Aviator,False
2004,Collateral,Collateral,False
2004,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,False
2004,Finding Neverland,Finding Neverland,False
2004,Hotel Rwanda,Hotel Rwanda,False
2004,Kinsey,Kinsey,False
2004,Million Dollar Baby ‡,Million Dollar Baby ‡,False
2004,The Phantom of the Opera,The Phantom of the Opera,False
2004,Ray,Ray,False
2005,Brokeback Mountain,Brokeback Mountain,True
2005,Capote,Capote,False
2005,Cinderella Man,Cinderella Man,False
2005,The Constant Gardener,The Constant Gardener,False
2005,Crash ‡,Crash ‡,False
2005,"Good Night, and Good Luck.","Good Night, and Good Luck.",False
2005,King Kong,King Kong,False
2005,Memoirs of a Geisha,Memoirs of a Geisha,False
2005,Munich,Munich,False
2005,Walk the Line,Walk the Line,False
2006,The Departed ‡,The Departed ‡,True
2006,Babel,Babel,False
2006,Blood Diamond,Blood Diamond,False
2006,Dreamgirls,Dreamgirls,False
2006,Letters from Iwo Jima,Letters from Iwo Jima,False
2006,Little Children,Little Children,False
2006,Little Miss Sunshine,Little Miss Sunshine,False
2006,Notes on a Scandal,Notes on a Scandal,False
2006,The Queen,The Queen,False
2006,United 93,United 93,False
2007,No Country for Old Men ‡,No Country for Old Men ‡,True
2007,American Gangster,American Gangster,False
2007,Atonement,Atonement,False
2007,The Diving Bell and the Butterfly,The Diving Bell and the Butterfly,False
2007,Into the Wild,Into the Wild,False
2007,Juno,Juno,False
2007,The Kite Runner,The Kite Runner,False
2007,Michael Clayton,Michael Clayton,False
2007,Sweeney Todd: The Demon Barber of Fleet Street,Sweeney Todd: The Demon Barber of Fleet Street,False
2007,There Will Be Blood,There Will Be Blood,False
2008,Slumdog Millionaire ‡,Slumdog Millionaire ‡,True
2008,Changeling,Changeling,False
2008,The Curious Case of Benjamin Button,The Curious Case of Benjamin Button,False
2008,The Dark Knight,The Dark Knight,False
2008,Doubt,Doubt,False
2008,Frost/Nixon,Frost/Nixon,False
2008,Milk,Milk,False
2008,The Reader,The Reader,False
2008,WALL-E,WALL-E,False
2008,The Wrestler,The Wrestler,False
2009,The Hurt Locker ‡,The Hurt Locker ‡,True
2009,Avatar,Avatar,False
2009,An Education,An Education,False
2009,Inglourious Basterds,Inglourious Basterds,False
2009,Invictus,Invictus,False
2009,Nine,Nine,False
2009,Precious,Precious,False
2009,A Serious Man,A Serious Man,False
2009,Up,Up,False
2009,Up in the Air,Up in the Air,False
2010,The Social Network,The Social Network,True
2010,127 Hours,127 Hours,False
2010,Black Swan,Black Swan,False
2010,The Fighter,The Fighter,False
2010,Inception,Inception,False
2010,The King's Speech ‡,The King's Speech ‡,False
2010,The Town,The Town,False
2010,Toy Story 3,Toy Story 3,False
2010,True Grit,True Grit,False
2010,Winter's Bone,Winter's Bone,False
2011,The Artist ‡,The Artist ‡,True
2011,The Descendants,The Descendants,False
2011,Drive,Drive,False
2011,Extremely Loud & Incredibly Close,Extremely Loud & Incredibly Close,False
2011,The Help,The Help,False
2011,Hugo,Hugo,False
2011,Midnight in Paris,Midnight in Paris,False
2011,Moneyball,Moneyball,False
2011,The Tree of Life,The Tree of Life,False
2011,War Horse,War Horse,False
2012,Argo ‡,Argo ‡,True
2012,Beasts of the Southern Wild,Beasts of the Southern Wild,False
2012,Django Unchained,Django Unchained,False
2012,Les Misérables,Les Misérables,False
