Year,Nominee,Movie,Winner
,Joseph L. Mankiewicz,A Letter to Three Wives,True
,Howard Hawks,Red River,False
,Anatole Litvak,The Snake Pit,False
,Fred Zinnemann,The Search,False
,Robert Rossen,All the King's Men,True
,Carol Reed,The Third Man,False
,Mark Robson,Champion,False
,Alfred L. Werker,Lost Boundaries,False
,Joseph L. Mankiewicz,All About Eve,True
,John Huston,The Asphalt Jungle,False
,Vincente Minnelli,Father's Little Dividend,False
,Billy Wilder,Sunset Boulevard,False
,George Stevens,A Place in the Sun,True
,László Benedek,Death of a Salesman,False
,Michael Gordon,Cyrano de Bergerac,False
,Alfred Hitchcock,Strangers on a Train,False
,Elia Kazan,A Streetcar Named Desire,False
,Henry King,David and Bathsheba,False
,Mervyn LeRoy,Quo Vadis,False
,Anatole Litvak,Decision Before Dawn,False
,Vincente Minnelli,An American in Paris,False
,George Sidney,Show Boat,False
,Richard Thorpe,The Great Caruso,False
,William Wyler,Detective Story,False
,John Ford,The Quiet Man,True
,Charles Crichton,The Lavender Hill Mob,False
,George Cukor,Pat and Mike,False
,Michael Curtiz,I'll See You in My Dreams,False
,Cecil B. DeMille,The Greatest Show on Earth,False
,Hugo Fregonese,My Six Convicts,False
,Howard Hawks,The Big Sky,False
,Elia Kazan,Viva Zapata!,False
,Gene Kelly and Stanley Donen,Singin' in the Rain,False
,Henry King,The Snows of Kilimanjaro,False
,Akira Kurosawa,Rashomon,False
,Albert Lewin,Pandora and the Flying Dutchman,False
,Joseph L. Mankiewicz,5 Fingers,False
,Vincente Minnelli,The Bad and the Beautiful,False
,George Sidney,Scaramouche,False
,Richard Thorpe,Ivanhoe,False
,Charles Vidor,Hans Christian Andersen,False
,Fred Zinnemann,High Noon,False
,Fred Zinnemann,From Here to Eternity,True
,Melvin Frank and Norman Panama,Above and Beyond,False
,Henry Koster,The Robe,False
,Walter Lang,Call Me Madam,False
,Joseph L. Mankiewicz,Julius Caesar,False
,Daniel Mann,"Come Back, Little Sheba",False
,Jean Negulesco,Titanic,False
,George Sidney,Young Bess,False
,George Stevens,Shane,False
,Charles Walters,Lili,False
,Billy Wilder,Stalag 17,False
,William Wyler,Roman Holiday,False
,Elia Kazan,On the Waterfront,True
,George Cukor,A Star Is Born,False
,Edward Dmytryk,The Caine Mutiny,False
,Stanley Donen,Seven Brides for Seven Brothers,False
,Melvin Frank and Norman Panama,Knock on Wood,False
,Samuel Fuller,Hell and High Water,False
,Alfred Hitchcock,Rear Window,False
,Henry King,King of the Khyber Rifles,False
,Anthony Mann,The Glenn Miller Story,False
,Jean Negulesco,Three Coins in the Fountain,False
,George Seaton,The Country Girl,False
,Don Siegel,Riot in Cell Block 11,False
,William A. Wellman,The High and the Mighty,False
,Robert Wise,Executive Suite,False
,Billy Wilder,Sabrina,False
,Delbert Mann,Marty,True
,Richard Brooks,Blackboard Jungle,False
,John Ford,The Long Gray Line,False
