Year,Nominee,Movie,Winner
1951[3][4],An American in Paris,An American in Paris,True
1952,With a Song in My Heart,With a Song in My Heart,True
1952,Hans Christian Andersen,Hans Christian Andersen,False
1952,I'll See You in My Dreams,I'll See You in My Dreams,False
1952,Singin' in the Rain,Singin' in the Rain,False
1952,Stars and Stripes Forever,Stars and Stripes Forever,False
1954[5][6],Carmen Jones,Carmen Jones,True
1955[7][8],Guys and Dolls,Guys and Dolls,True
1956,The King and I,The King and I,True
1956,Bus Stop,Bus Stop,False
1956,The Opposite Sex,The Opposite Sex,False
1956,The Solid Gold Cadillac,The Solid Gold Cadillac,False
1956,The Teahouse of the August Moon,The Teahouse of the August Moon,False
1957,Les Girls,Les Girls,True
1957,Don't Go Near the Water,Don't Go Near the Water,False
1957,Love in the Afternoon,Love in the Afternoon,False
1957,Pal Joey,Pal Joey,False
1957,Silk Stockings,Silk Stockings,False
1958,Auntie Mame,Auntie Mame,True
1958,"Bell, Book and Candle","Bell, Book and Candle",False
1958,Indiscreet,Indiscreet,False
1958,Me and the Colonel,Me and the Colonel,False
1958,The Perfect Furlough,The Perfect Furlough,False
1959,Some Like It Hot,Some Like It Hot,True
1959,But Not for Me,But Not for Me,False
1959,Operation Petticoat,Operation Petticoat,False
1959,Pillow Talk,Pillow Talk,False
1959,Who Was That Lady?,Who Was That Lady?,False
1960,The Apartment,The Apartment,True
1960,The Facts of Life,The Facts of Life,False
1960,The Grass Is Greener,The Grass Is Greener,False
1960,It Started in Naples,It Started in Naples,False
1960,Our Man in Havana,Our Man in Havana,False
1961,A Majority of One,A Majority of One,True
1961,Breakfast at Tiffany's,Breakfast at Tiffany's,False
1961,"One, Two, Three","One, Two, Three",False
1961,The Parent Trap,The Parent Trap,False
1961,Pocketful of Miracles,Pocketful of Miracles,False
1962,That Touch of Mink,That Touch of Mink,True
1962,The Best of Enemies,The Best of Enemies,False
1962,Boys' Night Out,Boys' Night Out,False
1962,If a Man Answers,If a Man Answers,False
1962,Period of Adjustment,Period of Adjustment,False
1963,Tom Jones,Tom Jones,True
1963,Bye Bye Birdie,Bye Bye Birdie,False
1963,Irma la Douce,Irma la Douce,False
