Year,Nominee,Movie,Winner
1950,Sunset Boulevard,Sunset Boulevard,True
1950,All About Eve,All About Eve,False
1950,Born Yesterday,Born Yesterday,False
1950,Cyrano de Bergerac,Cyrano de Bergerac,False
1950,Harvey,Harvey,False
1951,A Place in the Sun,A Place in the Sun,True
1951,Bright Victory,Bright Victory,False
1951,Detective Story,Detective Story,False
1951,Quo Vadis,Quo Vadis,False
1951,A Streetcar Named Desire,A Streetcar Named Desire,False
1952,The Greatest Show on Earth,The Greatest Show on Earth,True
1952,"Come Back, Little Sheba","Come Back, Little Sheba",False
1952,The Happy Time,The Happy Time,False
1952,High Noon,High Noon,False
1952,The Thief,The Thief,False
1953,The Robe,The Robe,True
1954[6][7],On the Waterfront,On the Waterfront,True
1955[8][9],East of Eden,East of Eden,True
1956,Around the World in 80 Days,Around the World in 80 Days,True
1956,Giant,Giant,False
1956,Lust for Life,Lust for Life,False
1956,The Rainmaker,The Rainmaker,False
1956,War and Peace,War and Peace,False
1957,The Bridge on the River Kwai,The Bridge on the River Kwai,True
1957,12 Angry Men,12 Angry Men,False
1957,Sayonara,Sayonara,False
1957,Wild Is the Wind,Wild Is the Wind,False
1957,Witness for the Prosecution,Witness for the Prosecution,False
1958,The Defiant Ones,The Defiant Ones,True
1958,Cat on a Hot Tin Roof,Cat on a Hot Tin Roof,False
1958,Home Before Dark,Home Before Dark,False
1958,I Want to Live!,I Want to Live!,False
1958,Separate Tables,Separate Tables,False
1959,Ben-Hur,Ben-Hur,True
1959,Anatomy of a Murder,Anatomy of a Murder,False
1959,The Diary of Anne Frank,The Diary of Anne Frank,False
1959,The Nun's Story,The Nun's Story,False
1959,On the Beach,On the Beach,False
1960,Spartacus,Spartacus,True
1960,Elmer Gantry,Elmer Gantry,False
1960,Inherit the Wind,Inherit the Wind,False
1960,Sons and Lovers,Sons and Lovers,False
1960,Sunrise at Campobello,Sunrise at Campobello,False
1961,The Guns of Navarone,The Guns of Navarone,True
1961,El Cid,El Cid,False
1961,Fanny,Fanny,False
1961,Judgment at Nuremberg,Judgment at Nuremberg,False
1961,Splendor in the Grass,Splendor in the Grass,False
1962,Lawrence of Arabia,Lawrence of Arabia,True
1962,The Chapman Report,The Chapman Report,False
1962,Days of Wine and Roses,Days of Wine and Roses,False
1962,Freud: The Secret Passion,Freud: The Secret Passion,False
1962,Hemingway's Adventures of a Young Man,Hemingway's Adventures of a Young Man,False
1962,Lisa,Lisa,False
1962,The Longest Day,The Longest Day,False
1962,The Miracle Worker,The Miracle Worker,False
1962,Mutiny on the Bounty,Mutiny on the Bounty,False
