Year,Nominee,Movie,Winner
,Apollo 13,Apollo 13,True
,Get Shorty,Get Shorty,False
,How to Make an American Quilt,How to Make an American Quilt,False
,Nixon,Nixon,False
,Sense and Sensibility,Sense and Sensibility,False
,The Birdcage,The Birdcage,True
,The English Patient,The English Patient,False
,Marvin's Room,Marvin's Room,False
,Shine,Shine,False
,Sling Blade,Sling Blade,False
,The Full Monty,The Full Monty,True
,Boogie Nights,Boogie Nights,False
,Good Will Hunting,Good Will Hunting,False
,L.A. Confidential,L.A. Confidential,False
,Titanic,Titanic,False
,Shakespeare in Love,Shakespeare in Love,True
,Life Is Beautiful (La vita è bella),Life Is Beautiful,False
,Little Voice,Little Voice,False
,Saving Private Ryan,Saving Private Ryan,False
,Waking Ned Devine,Waking Ned Devine,False
,American Beauty,American Beauty,True
,Being John Malkovich,Being John Malkovich,False
,The Cider House Rules,The Cider House Rules,False
,The Green Mile,The Green Mile,False
,Magnolia,Magnolia,False
,Traffic,Traffic,True
,Almost Famous,Almost Famous,False
,Billy Elliot,Billy Elliot,False
,Chocolat,Chocolat,False
,Gladiator,Gladiator,False
,Gosford Park,Gosford Park,True
,A Beautiful Mind,A Beautiful Mind,False
,In the Bedroom,In the Bedroom,False
,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,False
,Moulin Rouge!,Moulin Rouge!,False
,Chicago,Chicago,True
,Adaptation.,Adaptation.,False
,The Hours,The Hours,False
,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,False
,My Big Fat Greek Wedding,My Big Fat Greek Wedding,False
,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,True
,In America,In America,False
,Mystic River,Mystic River,False
,Seabiscuit,Seabiscuit,False
,The Station Agent,The Station Agent,False
,Sideways,Sideways,True
,The Aviator,The Aviator,False
,Finding Neverland,Finding Neverland,False
,Hotel Rwanda,Hotel Rwanda,False
,Million Dollar Baby,Million Dollar Baby,False
,Ray,Ray,False
,Crash,Crash,True
,Brokeback Mountain,Brokeback Mountain,False
,Capote,Capote,False
,"Good Night, and Good Luck.","Good Night, and Good Luck.",False
,Hustle & Flow,Hustle & Flow,False
,Little Miss Sunshine,Little Miss Sunshine,True
,Babel,Babel,False
,Bobby,Bobby,False
,The Departed,The Departed,False
,Dreamgirls,Dreamgirls,False
,No Country for Old Men,No Country for Old Men,True
,3:10 to Yuma,3:10 to Yuma,False
,American Gangster,American Gangster,False
,Hairspray,Hairspray,False
,Into the Wild,Into the Wild,False
,Slumdog Millionaire,Slumdog Millionaire,True
,The Curious Case of Benjamin Button,The Curious Case of Benjamin Button,False
,Doubt,Doubt,False
,Frost/Nixon,Frost/Nixon,False
,Milk,Milk,False
,Inglourious Basterds,Inglourious Basterds,True
,An Education,An Education,False
,The Hurt Locker,The Hurt Locker,False
